chr-ID	bp-header	bp-start	bp-end	OrfID	gene
2	11995	12163	13701	ORF19.6109	TUP1
2	16600	15761	14910	ORF19.6102	RCA1
2	117320	115879	114128	ORF19.6038	UGA32
2	207853	208292	208747	ORF19.3294	MBF1
2	224676	222077	220548	ORF19.3300	ZPR1
2	239100	238310	236094	ORF19.3305	ZCF17
2	242513	242750	244672	ORF19.3308	STB5
2	312774	313177	317814	ORF19.3345	SIZ1
2	369824	372242	375457	ORF19.4545	SWI4
2	416475	416295	414112	ORF19.4524	ZCF24
2	477340	477070	475931	ORF19.3683	AGE3
2	567233	567502	568695	ORF19.2961	
2	672554	672029	668832	ORF19.3012	ARO80
2	757365	757150	756437	ORF19.3063	HFL1
2	778650	781180	784023	ORF19.1035	WAR1
2	786942	788364	790210	ORF19.1032	SKO1
2	895953	898013	899623	ORF19.1069	RPN4
2	930812	931252	932691	ORF19.6845	
2	939537	940083	941816	ORF19.6850	
2	1048370	1045557	1044424	ORF19.53	
2	1065792	1066173	1067288	ORF19.4062	TRY2
2	1072670	1082678	1083949	ORF19.4056	BRG1
2	1123222	1122299	1119972	ORF19.431	ZCF20
2	1204178	1203457	1198403	ORF19.2476	
2	1229654	1231428	1232969	ORF19.2458	SIP5
2	1286424	1285460	1284338	ORF19.2432	HAC1
2	1305409	1302625	1300757	ORF19.1826	MDM34
2	1324514	1317025	1314494	ORF19.1822	UME6
2	1497979	1497140	1494204	ORF19.6203	PUT3
2	1517800	1518264	1522049	ORF19.6193	TAF145
2	1540755	1538464	1536764	ORF19.4450	ZCF23
2	1570974	1578967	1580490	ORF19.4438	RME1
2	1595267	1592574	1590604	ORF19.4433	CPH1
2	1662500	1666503	1667093	ORF19.1227	ZCF4
2	1667093	1668206	1669300	ORF19.1228	HAP2
2	1794223	1793606	1790436	ORF19.5097	CAT8
2	1861319	1860375	1858237	ORF19.391	UPC2
2	1889175	1889579	1890403	ORF19.4722	RTG1
2	1892559	1893017	1895206	ORF19.4725	SWI6
2	1948259	1942792	1940516	ORF19.4752	MSN4
2	1985765	1984359	1981057	ORF19.4766	ARG81
2	1984359	1985765	1986505	ORF19.4767	ZCF28
2	2008476	2010391	2012676	ORF19.4775	CTA8
2	2012676	2014937	2017567	ORF19.4776	LYS143
2	2019470	2020314	2022383	ORF19.4778	LYS142
2	2064662	2065935	2067767	ORF19.4799	CEF1
2	2147062	2146676	2145531	ORF19.4844	
2	2159971	2161492	2163231	ORF19.4853	HCM1
2	2192696	2195405	2196958	ORF19.4869	SFU1
2	2302038	2304212	2305174	ORF19.4911	
2	2406592	2405785	2404448	ORF19.2331	ADA2
2	2426492	2425723	2424161	ORF19.2315	RTG3
2	2468227	2467031	2465127	ORF19.681	HAP43
2	2532458	2531948	2531361	ORF19.1168	ZCF3
2	2559483	2561059	2562477	ORF19.1150	
2	2585384	2585659	2588094	ORF19.1135	CAS1
2	2653711	2653379	2650980	ORF19.5251	ZCF30
2	2655623	2654955	2654278	ORF19.5249	
2	2668502	2669672	2672677	ORF19.5241	SNT1
2	2871337	2869829	2869020	ORF19.4941	TYE7
2	2911069	2911732	2913486	ORF19.4961	STP2
2	2944794	2937571	2935625	ORF19.4972	
2	2990032	2993348	2996389	ORF19.4998	ROB1
2	2998889	2999889	3001664	ORF19.5001	CUP2
2	3060939	3057052	3053519	ORF19.5026	
2	3138881	3139214	3140899	ORF19.7234	
2	3162285	3160657	3158672	ORF19.7247	RIM101
3	19147	19691	21205	ORF19.2119	NDT80
3	36551	36407	35757	ORF19.2105	
3	65234	64994	64209	ORF19.2088	DPB4
3	77607	78128	80632	ORF19.2077	ZCF9
3	100722	101403	104726	ORF19.2064	
